period_end,ghi
2023-07-10 00:30:00-05:00,0
2023-07-10 01:00:00-05:00,0
2023-07-10 01:30:00-05:00,0
2023-07-10 02:00:00-05:00,0
2023-07-10 02:30:00-05:00,0
2023-07-10 03:00:00-05:00,0
2023-07-10 03:30:00-05:00,0
2023-07-10 04:00:00-05:00,0
2023-07-10 04:30:00-05:00,0
2023-07-10 05:00:00-05:00,0
2023-07-10 05:30:00-05:00,0
2023-07-10 06:00:00-05:00,0
2023-07-10 06:30:00-05:00,9
2023-07-10 07:00:00-05:00,69
2023-07-10 07:30:00-05:00,98
2023-07-10 08:00:00-05:00,192
2023-07-10 08:30:00-05:00,158
2023-07-10 09:00:00-05:00,202
2023-07-10 09:30:00-05:00,214
2023-07-10 10:00:00-05:00,270
2023-07-10 10:30:00-05:00,430
2023-07-10 11:00:00-05:00,479
2023-07-10 11:30:00-05:00,311
2023-07-10 12:00:00-05:00,407
2023-07-10 12:30:00-05:00,492
2023-07-10 13:00:00-05:00,500
2023-07-10 13:30:00-05:00,551
2023-07-10 14:00:00-05:00,611
2023-07-10 14:30:00-05:00,707
2023-07-10 15:00:00-05:00,628
2023-07-10 15:30:00-05:00,798
2023-07-10 16:00:00-05:00,630
2023-07-10 16:30:00-05:00,679
2023-07-10 17:00:00-05:00,607
2023-07-10 17:30:00-05:00,516
2023-07-10 18:00:00-05:00,421
2023-07-10 18:30:00-05:00,321
2023-07-10 19:00:00-05:00,220
2023-07-10 19:30:00-05:00,122
2023-07-10 20:00:00-05:00,43
2023-07-10 20:30:00-05:00,2
2023-07-10 21:00:00-05:00,0
2023-07-10 21:30:00-05:00,0
2023-07-10 22:00:00-05:00,0
2023-07-10 22:30:00-05:00,0
2023-07-10 23:00:00-05:00,0
2023-07-10 23:30:00-05:00,0
2023-07-11 00:00:00-05:00,0
2023-07-11 00:30:00-05:00,0
2023-07-11 01:00:00-05:00,0
2023-07-11 01:30:00-05:00,0
2023-07-11 02:00:00-05:00,0
2023-07-11 02:30:00-05:00,0
2023-07-11 03:00:00-05:00,0
2023-07-11 03:30:00-05:00,0
2023-07-11 04:00:00-05:00,0
2023-07-11 04:30:00-05:00,0
2023-07-11 05:00:00-05:00,0
2023-07-11 05:30:00-05:00,0
2023-07-11 06:00:00-05:00,0
2023-07-11 06:30:00-05:00,26
2023-07-11 07:00:00-05:00,100
2023-07-11 07:30:00-05:00,184
2023-07-11 08:00:00-05:00,258
2023-07-11 08:30:00-05:00,398
2023-07-11 09:00:00-05:00,500
2023-07-11 09:30:00-05:00,590
2023-07-11 10:00:00-05:00,686
2023-07-11 10:30:00-05:00,714
2023-07-11 11:00:00-05:00,778
2023-07-11 11:30:00-05:00,726
2023-07-11 12:00:00-05:00,836
2023-07-11 12:30:00-05:00,924
2023-07-11 13:00:00-05:00,966
2023-07-11 13:30:00-05:00,964
2023-07-11 14:00:00-05:00,957
2023-07-11 14:30:00-05:00,928
2023-07-11 15:00:00-05:00,849
2023-07-11 15:30:00-05:00,678
2023-07-11 16:00:00-05:00,673
2023-07-11 16:30:00-05:00,450
2023-07-11 17:00:00-05:00,395
2023-07-11 17:30:00-05:00,498
2023-07-11 18:00:00-05:00,404
2023-07-11 18:30:00-05:00,303
2023-07-11 19:00:00-05:00,148
2023-07-11 19:30:00-05:00,41
2023-07-11 20:00:00-05:00,17
2023-07-11 20:30:00-05:00,1
2023-07-11 21:00:00-05:00,0
2023-07-11 21:30:00-05:00,0
2023-07-11 22:00:00-05:00,0
2023-07-11 22:30:00-05:00,0
2023-07-11 23:00:00-05:00,0
2023-07-11 23:30:00-05:00,0
2023-07-12 00:00:00-05:00,0
2023-07-12 00:30:00-05:00,0
2023-07-12 01:00:00-05:00,0
2023-07-12 01:30:00-05:00,0
2023-07-12 02:00:00-05:00,0
2023-07-12 02:30:00-05:00,0
2023-07-12 03:00:00-05:00,0
2023-07-12 03:30:00-05:00,0
2023-07-12 04:00:00-05:00,0
2023-07-12 04:30:00-05:00,0
2023-07-12 05:00:00-05:00,0
