period_end,gti
2021-06-21 00:15:00-05:00,0
2021-06-21 00:30:00-05:00,0
2021-06-21 00:45:00-05:00,0
2021-06-21 01:00:00-05:00,0
2021-06-21 01:15:00-05:00,0
2021-06-21 01:30:00-05:00,0
2021-06-21 01:45:00-05:00,0
2021-06-21 02:00:00-05:00,0
2021-06-21 02:15:00-05:00,0
2021-06-21 02:30:00-05:00,0
2021-06-21 02:45:00-05:00,0
2021-06-21 03:00:00-05:00,0
2021-06-21 03:15:00-05:00,0
2021-06-21 03:30:00-05:00,0
2021-06-21 03:45:00-05:00,0
2021-06-21 04:00:00-05:00,0
2021-06-21 04:15:00-05:00,0
2021-06-21 04:30:00-05:00,0
2021-06-21 04:45:00-05:00,0
2021-06-21 05:00:00-05:00,0
2021-06-21 05:15:00-05:00,0
2021-06-21 05:30:00-05:00,0
2021-06-21 05:45:00-05:00,0
2021-06-21 06:00:00-05:00,1
2021-06-21 06:15:00-05:00,6
2021-06-21 06:30:00-05:00,9
2021-06-21 06:45:00-05:00,15
2021-06-21 07:00:00-05:00,29
2021-06-21 07:15:00-05:00,32
2021-06-21 07:30:00-05:00,38
2021-06-21 07:45:00-05:00,37
2021-06-21 08:00:00-05:00,33
2021-06-21 08:15:00-05:00,36
2021-06-21 08:30:00-05:00,33
2021-06-21 08:45:00-05:00,37
2021-06-21 09:00:00-05:00,35
2021-06-21 09:15:00-05:00,33
2021-06-21 09:30:00-05:00,38
2021-06-21 09:45:00-05:00,107
2021-06-21 10:00:00-05:00,520
2021-06-21 10:15:00-05:00,610
2021-06-21 10:30:00-05:00,610
2021-06-21 10:45:00-05:00,610
2021-06-21 11:00:00-05:00,610
2021-06-21 11:15:00-05:00,313
2021-06-21 11:30:00-05:00,67
2021-06-21 11:45:00-05:00,81
2021-06-21 12:00:00-05:00,249
2021-06-21 12:15:00-05:00,352
2021-06-21 12:30:00-05:00,211
2021-06-21 12:45:00-05:00,226
2021-06-21 13:00:00-05:00,216
2021-06-21 13:15:00-05:00,364
2021-06-21 13:30:00-05:00,814
2021-06-21 13:45:00-05:00,589
2021-06-21 16:15:00-05:00,9
2021-06-21 16:30:00-05:00,11
2021-06-21 16:45:00-05:00,29
2021-06-21 17:00:00-05:00,33
2021-06-21 17:15:00-05:00,35
2021-06-21 17:30:00-05:00,13
2021-06-21 17:45:00-05:00,14
2021-06-21 18:00:00-05:00,58
2021-06-21 18:15:00-05:00,72
2021-06-21 18:30:00-05:00,60
2021-06-21 18:45:00-05:00,41
2021-06-21 19:00:00-05:00,39
2021-06-21 19:15:00-05:00,28
2021-06-21 19:30:00-05:00,18
2021-06-21 19:45:00-05:00,12
2021-06-21 20:00:00-05:00,6
2021-06-21 20:15:00-05:00,1
2021-06-21 20:30:00-05:00,0
2021-06-21 20:45:00-05:00,0
2021-06-21 21:00:00-05:00,0
2021-06-21 21:15:00-05:00,0
2021-06-21 21:30:00-05:00,0
2021-06-21 21:45:00-05:00,0
2021-06-21 22:00:00-05:00,0
2021-06-21 22:15:00-05:00,0
2021-06-21 22:30:00-05:00,41
2021-06-21 22:45:00-05:00,67
2021-06-21 23:00:00-05:00,106
2021-06-21 23:15:00-05:00,42
2021-06-21 23:30:00-05:00,41
2021-06-21 23:45:00-05:00,26
2021-06-22 00:00:00-05:00,0
2021-06-22 00:15:00-05:00,0
2021-06-22 00:30:00-05:00,0
2021-06-22 00:45:00-05:00,0
2021-06-22 01:00:00-05:00,0
2021-06-22 01:15:00-05:00,0
