period_end,ghi
2023-07-10 00:30:00-05:00,0
2023-07-10 01:00:00-05:00,0
2023-07-10 01:30:00-05:00,0
2023-07-10 02:00:00-05:00,0
2023-07-10 02:30:00-05:00,0
2023-07-10 03:00:00-05:00,0
2023-07-10 03:30:00-05:00,0
2023-07-10 04:00:00-05:00,0
2023-07-10 04:30:00-05:00,0
2023-07-10 05:00:00-05:00,0
2023-07-10 05:30:00-05:00,0
2023-07-10 06:00:00-05:00,1
2023-07-10 06:30:00-05:00,16
2023-07-10 07:00:00-05:00,34
2023-07-10 07:30:00-05:00,65
2023-07-10 08:00:00-05:00,69
2023-07-10 08:30:00-05:00,110
2023-07-10 09:00:00-05:00,137
2023-07-10 09:30:00-05:00,133
2023-07-10 10:00:00-05:00,205
2023-07-10 10:30:00-05:00,356
2023-07-10 11:00:00-05:00,335
2023-07-10 11:30:00-05:00,332
2023-07-10 12:00:00-05:00,353
2023-07-10 12:30:00-05:00,381
2023-07-10 13:00:00-05:00,434
2023-07-10 13:30:00-05:00,574
2023-07-10 14:00:00-05:00,470
2023-07-10 14:30:00-05:00,589
2023-07-10 15:00:00-05:00,973
2023-07-10 15:30:00-05:00,759
2023-07-10 16:00:00-05:00,558
2023-07-10 16:30:00-05:00,651
2023-07-10 17:00:00-05:00,513
2023-07-10 17:30:00-05:00,508
2023-07-10 18:00:00-05:00,399
2023-07-10 18:30:00-05:00,233
2023-07-10 19:00:00-05:00,190
2023-07-10 19:30:00-05:00,105
2023-07-10 20:00:00-05:00,40
2023-07-10 20:30:00-05:00,5
2023-07-10 21:00:00-05:00,0
2023-07-10 21:30:00-05:00,0
2023-07-10 22:00:00-05:00,0
2023-07-10 22:30:00-05:00,0
2023-07-10 23:00:00-05:00,0
2023-07-10 23:30:00-05:00,0
2023-07-11 00:00:00-05:00,0
2023-07-11 00:30:00-05:00,0
2023-07-11 01:00:00-05:00,0
2023-07-11 01:30:00-05:00,0
2023-07-11 02:00:00-05:00,0
2023-07-11 02:30:00-05:00,0
2023-07-11 03:00:00-05:00,0
2023-07-11 03:30:00-05:00,0
2023-07-11 04:00:00-05:00,0
2023-07-11 04:30:00-05:00,0
2023-07-11 05:00:00-05:00,0
2023-07-11 05:30:00-05:00,0
2023-07-11 06:00:00-05:00,0
2023-07-11 06:30:00-05:00,13
2023-07-11 07:00:00-05:00,52
2023-07-11 07:30:00-05:00,146
2023-07-11 08:00:00-05:00,227
2023-07-11 08:30:00-05:00,361
2023-07-11 09:00:00-05:00,476
2023-07-11 09:30:00-05:00,598
2023-07-11 10:00:00-05:00,633
2023-07-11 10:30:00-05:00,680
2023-07-11 11:00:00-05:00,682
2023-07-11 11:30:00-05:00,910
2023-07-11 12:00:00-05:00,974
2023-07-11 12:30:00-05:00,999
2023-07-11 13:00:00-05:00,1043
2023-07-11 13:30:00-05:00,1029
2023-07-11 14:00:00-05:00,1038
2023-07-11 14:30:00-05:00,913
2023-07-11 15:00:00-05:00,869
2023-07-11 15:30:00-05:00,322
2023-07-11 16:00:00-05:00,168
2023-07-11 16:30:00-05:00,471
2023-07-11 17:00:00-05:00,401
2023-07-11 17:30:00-05:00,521
2023-07-11 18:00:00-05:00,400
2023-07-11 18:30:00-05:00,293
2023-07-11 19:00:00-05:00,196
2023-07-11 19:30:00-05:00,103
2023-07-11 20:00:00-05:00,27
2023-07-11 20:30:00-05:00,1
2023-07-11 21:00:00-05:00,0
2023-07-11 21:30:00-05:00,0
2023-07-11 22:00:00-05:00,0
2023-07-11 22:30:00-05:00,0
2023-07-11 23:00:00-05:00,0
2023-07-11 23:30:00-05:00,0
2023-07-12 00:00:00-05:00,0
2023-07-12 00:30:00-05:00,0
2023-07-12 01:00:00-05:00,0
2023-07-12 01:30:00-05:00,0
2023-07-12 02:00:00-05:00,0
2023-07-12 02:30:00-05:00,0
2023-07-12 03:00:00-05:00,0
2023-07-12 03:30:00-05:00,0
2023-07-12 04:00:00-05:00,0
2023-07-12 04:30:00-05:00,0
2023-07-12 05:00:00-05:00,0
