period_end,pv_power_rooftop
2023-01-01 01:00:00,5.368
2023-01-01 02:00:00,5.835
2023-01-01 03:00:00,5.733
2023-01-01 04:00:00,5.652
2023-01-01 05:00:00,5.503
2023-01-01 06:00:00,4.534
2023-01-01 07:00:00,3.445
2023-01-01 08:00:00,1.556
2023-01-01 09:00:00,0.192
2023-01-01 10:00:00,0.000
2023-01-01 11:00:00,0.000
2023-01-01 12:00:00,0.000
2023-01-01 13:00:00,0.000
2023-01-01 14:00:00,0.000
2023-01-01 15:00:00,0.000
2023-01-01 16:00:00,0.000
2023-01-01 17:00:00,0.000
2023-01-01 18:00:00,0.000
2023-01-01 19:00:00,0.000
2023-01-01 20:00:00,0.011
2023-01-01 21:00:00,0.155
2023-01-01 22:00:00,1.454
2023-01-01 23:00:00,3.168
2023-01-02 00:00:00,4.000
2023-01-02 01:00:00,5.324
2023-01-02 02:00:00,5.395
2023-01-02 03:00:00,6.160
2023-01-02 04:00:00,5.801
2023-01-02 05:00:00,5.774
2023-01-02 06:00:00,4.958
2023-01-02 07:00:00,3.020
2023-01-02 08:00:00,0.818
2023-01-02 09:00:00,0.050
2023-01-02 10:00:00,0.000
2023-01-02 11:00:00,0.000
2023-01-02 12:00:00,0.000
2023-01-02 13:00:00,0.000
2023-01-02 14:00:00,0.000
2023-01-02 15:00:00,0.000
2023-01-02 16:00:00,0.000
2023-01-02 17:00:00,0.000
2023-01-02 18:00:00,0.000
2023-01-02 19:00:00,0.000
2023-01-02 20:00:00,0.084
2023-01-02 21:00:00,0.397
2023-01-02 22:00:00,1.530
2023-01-02 23:00:00,3.091
2023-01-03 00:00:00,4.218
2023-01-03 01:00:00,5.366
2023-01-03 02:00:00,5.866
2023-01-03 03:00:00,5.989
2023-01-03 04:00:00,5.994
2023-01-03 05:00:00,4.922
2023-01-03 06:00:00,3.985
2023-01-03 07:00:00,2.006
2023-01-03 08:00:00,1.695
2023-01-03 09:00:00,0.093
2023-01-03 10:00:00,0.000
2023-01-03 11:00:00,0.000
2023-01-03 12:00:00,0.000
2023-01-03 13:00:00,0.000
2023-01-03 14:00:00,0.000
2023-01-03 15:00:00,0.000
2023-01-03 16:00:00,0.000
2023-01-03 17:00:00,0.000
2023-01-03 18:00:00,0.000
2023-01-03 19:00:00,0.000
2023-01-03 20:00:00,0.177
2023-01-03 21:00:00,0.745
2023-01-03 22:00:00,1.715
2023-01-03 23:00:00,2.263
2023-01-04 00:00:00,2.352
2023-01-04 01:00:00,2.768
2023-01-04 02:00:00,2.378
2023-01-04 03:00:00,2.608
2023-01-04 04:00:00,0.483
2023-01-04 05:00:00,0.105
2023-01-04 06:00:00,0.362
2023-01-04 07:00:00,0.091
2023-01-04 08:00:00,0.317
2023-01-04 09:00:00,0.089
2023-01-04 10:00:00,0.000
2023-01-04 11:00:00,0.000
2023-01-04 12:00:00,0.000
2023-01-04 13:00:00,0.000
2023-01-04 14:00:00,0.000
2023-01-04 15:00:00,0.000
2023-01-04 16:00:00,0.000
2023-01-04 17:00:00,0.000
2023-01-04 18:00:00,0.000
2023-01-04 19:00:00,0.000
2023-01-04 20:00:00,0.041
2023-01-04 21:00:00,0.504
2023-01-04 22:00:00,1.515
2023-01-04 23:00:00,2.469
2023-01-05 00:00:00,1.134
2023-01-05 01:00:00,2.167
2023-01-05 02:00:00,1.657
2023-01-05 03:00:00,3.777
2023-01-05 04:00:00,3.787
2023-01-05 05:00:00,1.660
2023-01-05 06:00:00,0.902
2023-01-05 07:00:00,0.405
2023-01-05 08:00:00,0.461
2023-01-05 09:00:00,0.035
2023-01-05 10:00:00,0.000
2023-01-05 11:00:00,0.000
2023-01-05 12:00:00,0.000
2023-01-05 13:00:00,0.000
2023-01-05 14:00:00,0.000
2023-01-05 15:00:00,0.000
2023-01-05 16:00:00,0.000
2023-01-05 17:00:00,0.000
2023-01-05 18:00:00,0.000
2023-01-05 19:00:00,0.000
2023-01-05 20:00:00,0.097
2023-01-05 21:00:00,0.402
2023-01-05 22:00:00,1.307
2023-01-05 23:00:00,1.702
2023-01-06 00:00:00,0.487
2023-01-06 01:00:00,1.280
2023-01-06 02:00:00,1.947
2023-01-06 03:00:00,1.622
2023-01-06 04:00:00,1.528
2023-01-06 05:00:00,1.451
2023-01-06 06:00:00,1.310
2023-01-06 07:00:00,0.699
2023-01-06 08:00:00,0.099
2023-01-06 09:00:00,0.000
2023-01-06 10:00:00,0.000
2023-01-06 11:00:00,0.000
2023-01-06 12:00:00,0.000
2023-01-06 13:00:00,0.000
2023-01-06 14:00:00,0.000
2023-01-06 15:00:00,0.000
2023-01-06 16:00:00,0.000
2023-01-06 17:00:00,0.000
2023-01-06 18:00:00,0.000
2023-01-06 19:00:00,0.000
2023-01-06 20:00:00,0.032
2023-01-06 21:00:00,0.375
2023-01-06 22:00:00,0.575
2023-01-06 23:00:00,1.065
2023-01-07 00:00:00,1.660
2023-01-07 01:00:00,1.375
2023-01-07 02:00:00,3.531
2023-01-07 03:00:00,3.279
2023-01-07 04:00:00,4.466
2023-01-07 05:00:00,4.029
2023-01-07 06:00:00,1.760
2023-01-07 07:00:00,0.801
2023-01-07 08:00:00,0.588
2023-01-07 09:00:00,0.039
2023-01-07 10:00:00,0.000
2023-01-07 11:00:00,0.000
2023-01-07 12:00:00,0.000
2023-01-07 13:00:00,0.000
2023-01-07 14:00:00,0.000
2023-01-07 15:00:00,0.000
2023-01-07 16:00:00,0.000
2023-01-07 17:00:00,0.000
2023-01-07 18:00:00,0.000
2023-01-07 19:00:00,0.000
2023-01-07 20:00:00,0.086
2023-01-07 21:00:00,0.804
2023-01-07 22:00:00,1.502
2023-01-07 23:00:00,3.060
2023-01-08 00:00:00,4.448
2023-01-08 01:00:00,5.330
2023-01-08 02:00:00,5.908
2023-01-08 03:00:00,6.818
2023-01-08 04:00:00,6.292
2023-01-08 05:00:00,5.729
2023-01-08 06:00:00,5.148
2023-01-08 07:00:00,3.898
2023-01-08 08:00:00,2.402
2023-01-08 09:00:00,0.623
2023-01-08 10:00:00,0.000
2023-01-08 11:00:00,0.000
2023-01-08 12:00:00,0.000
2023-01-08 13:00:00,0.000
2023-01-08 14:00:00,0.000
2023-01-08 15:00:00,0.000
2023-01-08 16:00:00,0.000
2023-01-08 17:00:00,0.000
2023-01-08 18:00:00,0.000
2023-01-08 19:00:00,0.000
2023-01-08 20:00:00,0.006
2023-01-08 21:00:00,0.108
2023-01-08 22:00:00,1.349
2023-01-08 23:00:00,3.007
2023-01-09 00:00:00,4.212
2023-01-09 01:00:00,5.761
2023-01-09 02:00:00,7.002
2023-01-09 03:00:00,5.989
2023-01-09 04:00:00,5.882
2023-01-09 05:00:00,5.929
2023-01-09 06:00:00,5.162
2023-01-09 07:00:00,4.117
2023-01-09 08:00:00,2.456
2023-01-09 09:00:00,0.641
2023-01-09 10:00:00,0.000
2023-01-09 11:00:00,0.000
2023-01-09 12:00:00,0.000
2023-01-09 13:00:00,0.000
2023-01-09 14:00:00,0.000
2023-01-09 15:00:00,0.000
2023-01-09 16:00:00,0.000
2023-01-09 17:00:00,0.000
2023-01-09 18:00:00,0.000
2023-01-09 19:00:00,0.000
2023-01-09 20:00:00,0.068
2023-01-09 21:00:00,0.088
2023-01-09 22:00:00,1.371
2023-01-09 23:00:00,2.989
2023-01-10 00:00:00,4.176
2023-01-10 01:00:00,4.873
2023-01-10 02:00:00,5.092
2023-01-10 03:00:00,4.893
2023-01-10 04:00:00,6.060
2023-01-10 05:00:00,6.107
2023-01-10 06:00:00,4.685
2023-01-10 07:00:00,3.855
2023-01-10 08:00:00,2.335
2023-01-10 09:00:00,0.339
2023-01-10 10:00:00,0.000
2023-01-10 11:00:00,0.000
2023-01-10 12:00:00,0.000
2023-01-10 13:00:00,0.000
2023-01-10 14:00:00,0.000
2023-01-10 15:00:00,0.000
2023-01-10 16:00:00,0.000
2023-01-10 17:00:00,0.000
2023-01-10 18:00:00,0.000
2023-01-10 19:00:00,0.000
2023-01-10 20:00:00,0.065
2023-01-10 21:00:00,0.606
2023-01-10 22:00:00,1.013
2023-01-10 23:00:00,1.476
2023-01-11 00:00:00,0.772
2023-01-11 01:00:00,0.633
2023-01-11 02:00:00,0.978
2023-01-11 03:00:00,1.974
2023-01-11 04:00:00,3.119
2023-01-11 05:00:00,5.035
2023-01-11 06:00:00,4.695
2023-01-11 07:00:00,3.646
2023-01-11 08:00:00,1.922
2023-01-11 09:00:00,0.546
2023-01-11 10:00:00,0.000
2023-01-11 11:00:00,0.000
2023-01-11 12:00:00,0.000
2023-01-11 13:00:00,0.000
2023-01-11 14:00:00,0.000
2023-01-11 15:00:00,0.000
2023-01-11 16:00:00,0.000
2023-01-11 17:00:00,0.000
2023-01-11 18:00:00,0.000
2023-01-11 19:00:00,0.000
2023-01-11 20:00:00,0.027
2023-01-11 21:00:00,0.524
2023-01-11 22:00:00,0.932
2023-01-11 23:00:00,1.408
2023-01-12 00:00:00,2.410
2023-01-12 01:00:00,2.586
2023-01-12 02:00:00,3.205
2023-01-12 03:00:00,5.970
2023-01-12 04:00:00,6.225
2023-01-12 05:00:00,6.439
2023-01-12 06:00:00,5.273
2023-01-12 07:00:00,3.749
2023-01-12 08:00:00,2.237
2023-01-12 09:00:00,0.400
2023-01-12 10:00:00,0.000
2023-01-12 11:00:00,0.000
2023-01-12 12:00:00,0.000
2023-01-12 13:00:00,0.000
2023-01-12 14:00:00,0.000
2023-01-12 15:00:00,0.000
2023-01-12 16:00:00,0.000
2023-01-12 17:00:00,0.000
2023-01-12 18:00:00,0.000
2023-01-12 19:00:00,0.000
2023-01-12 20:00:00,0.027
2023-01-12 21:00:00,0.705
2023-01-12 22:00:00,1.466
2023-01-12 23:00:00,2.760
2023-01-13 00:00:00,3.698
2023-01-13 01:00:00,4.326
2023-01-13 02:00:00,5.271
2023-01-13 03:00:00,5.657
2023-01-13 04:00:00,5.210
2023-01-13 05:00:00,4.516
2023-01-13 06:00:00,2.882
2023-01-13 07:00:00,1.462
2023-01-13 08:00:00,1.355
2023-01-13 09:00:00,0.018
2023-01-13 10:00:00,0.000
2023-01-13 11:00:00,0.000
2023-01-13 12:00:00,0.000
2023-01-13 13:00:00,0.000
2023-01-13 14:00:00,0.000
2023-01-13 15:00:00,0.000
2023-01-13 16:00:00,0.000
2023-01-13 17:00:00,0.000
2023-01-13 18:00:00,0.000
2023-01-13 19:00:00,0.000
2023-01-13 20:00:00,0.005
2023-01-13 21:00:00,0.419
2023-01-13 22:00:00,0.872
2023-01-13 23:00:00,1.199
2023-01-14 00:00:00,2.747
2023-01-14 01:00:00,4.174
2023-01-14 02:00:00,4.734
2023-01-14 03:00:00,5.212
2023-01-14 04:00:00,5.708
2023-01-14 05:00:00,5.363
2023-01-14 06:00:00,5.205
2023-01-14 07:00:00,4.005
2023-01-14 08:00:00,2.058
2023-01-14 09:00:00,0.533
2023-01-14 10:00:00,0.000
2023-01-14 11:00:00,0.000
2023-01-14 12:00:00,0.000
2023-01-14 13:00:00,0.000
2023-01-14 14:00:00,0.000
2023-01-14 15:00:00,0.000
2023-01-14 16:00:00,0.000
2023-01-14 17:00:00,0.000
2023-01-14 18:00:00,0.000
2023-01-14 19:00:00,0.000
2023-01-14 20:00:00,0.010
2023-01-14 21:00:00,0.116
2023-01-14 22:00:00,1.202
2023-01-14 23:00:00,2.640
2023-01-15 00:00:00,4.314
2023-01-15 01:00:00,5.823
2023-01-15 02:00:00,5.974
2023-01-15 03:00:00,6.203
2023-01-15 04:00:00,6.449
2023-01-15 05:00:00,5.774
2023-01-15 06:00:00,4.930
2023-01-15 07:00:00,3.643
2023-01-15 08:00:00,2.044
2023-01-15 09:00:00,0.069
2023-01-15 10:00:00,0.000
2023-01-15 11:00:00,0.000
2023-01-15 12:00:00,0.000
2023-01-15 13:00:00,0.000
2023-01-15 14:00:00,0.000
2023-01-15 15:00:00,0.000
2023-01-15 16:00:00,0.000
2023-01-15 17:00:00,0.000
2023-01-15 18:00:00,0.000
2023-01-15 19:00:00,0.000
2023-01-15 20:00:00,0.021
2023-01-15 21:00:00,0.180
2023-01-15 22:00:00,1.312
